,acceptability,sentence
26349,1,A WOMAN IS ALL HER HOUSE.TRYING TO SLEEP.SHE HAS SPIDERS IN OVER HER HOUSE. HER HUSBAND COMES IN AND SHE YELLS AT HIM TO IT GET TOGETHER.
1772,0,A man narrates his experience growing up a Jehovah's Witness.
23207,1,The baby is soon identified as the child who stole the baby and for given to Walter and Martha is identification
31749,1,"The man says to her ""So, what do you want to do, hun? ""And I say, well, I'd like to travel around the world,"
22766,0,A premise is something that serves as a starting point for further thought.
20104,0,Where did the first Christian community that was known as Christians appear?
12241,1,"two white supremacists Frank (James) and Ken (Lon Chaney Jr), sneak into a black power meeting in a warehouse. They kill several other attendees, and Frank is arrested. He is then transferred to prison. Some time later, Frank returns to the warehouse with fresh venom."
911,1,A conversation between two men begins with the topic of physics and ends with the topic of metaphysics
30768,0,"For many centuries, the phi song neng (vampires who have vowed never to drink human blood) have lived among the villages of the Far East One day over 800 years ago, a young human warlord named Niran fell in love with one of the song neng, a woman named Sang. Niran wanted Sang for his own, so he killed her husband and son. In her pain and rage, Sang attacked and bit Niran during a Songkran (New Year) solar eclipse, turning him into a vampire. From Niran's bloodline have come many jai tham (vampires who drink human blood and kill for pleasure)."
34693,1,A LARGE SHIP IS SAILING INTO THE HARBOR AND A NARRATOR TELLS US ABOUT THE SHIP.
4215,1,an old building with signs and a clock tower in the middle.
32665,1,what was the name of the first person killed in the battle of blenheim?
33992,0,What was the only American country to be ruled by monarchs from the 17th century onward?
20834,0,"""The premise of the film is that a group of people who have been confined to a wheelchair have been forced to reevaluate their lives Through their conversations, their own reflections, and the input of an interdisciplinary team of researchers, the film explores the nature of their daily lives and the barriers that have kept them from living more freely."
14905,1,A small space is surrounded by a vast expanse of sky.A mighty stairway rises to an altar beneath a grotto.
16818,0,Then he opens his mouth to spit out the dark liquid.
5665,1,Which e-commerce site is the third-largest in the world?
12423,1,what is the name of the large on the river island of gran canaria?
8043,1,FREYJA IS AN AND WITH LONG BROWN HAIR RED WITH HIGHLIGHTS ORPHAN WEARS A DRESS WITH A DEMON ON IT
34108,0,"Some dogs may be unable to become pregnant after removing their pug's egg, even if the eggs were still inside."
17694,0,"In a conversation, a woman tells the her husband that she is going to see the salon to change her hairdresser."
21871,1,"the film begins with a martial arts tournament, in which fighters are competing for the right to begin a quest to challenge zetan (christopher lee), a famous wizard who possesses a special book of enlightenment that is supposed to contain all the world's wisdom arrogant brawler cord (jeff cooper) defeats every opponent, but is disqualified for fighting dishonorably. cord decides to follow the eventual winner morthond (anthony de liseo), hoping that he can lead him to zetan. while the two fighters are resting, a blind flutist (david carradine) walks by them and into a nearby building. cord follows the blind man and sees him easily dispatch a gang of thugs who attacked him."
8172,0,"The film begins in a quarrell between two men at a remote mansion Humbert Humbert (James Mason) a 40-something British professor of French literature, arrives at the masion which is ramsacked from an apparently wild party the night before and finds the insane and debauched Clare Quilty (Peter Sellers), whom is not only suffering from some kind of severe dementia, but is also clearly drunk, as he babbles on incoherently and does not seem to remember Humbert from a time ago. Quilty goes mad when Humbert points a gun at him. After a mutually exhausting struggle for it, Quilty, now insane with fear, merely responds politely as Humbert repeatedly shoots him. He finally dies with a comical lack of interest, expressing his slight concern in an affected English accent."
5610,0,He talks about how to make a new friend.
1453,1,the world was young and believed many so of the story in Cinderella.
2998,0,"In a bar, two men discuss a possible scenario for a story."
17951,1,"after a while, a woman says they have been dating for about a month."
7707,1,nerdy weird guy is very likes and nerdy The things.
3094,0,"In the small logging town of Lumberton, Jeffrey Beaumont (Kyle MacLachlan) returns home from college after his father (Jack Harvey) suffers a near fatal stroke He stays with his mother (Priscilla Pointer) and Aunt Barbara (Frances Bay) while he takes over working at the local hardware store that his father owns. While walking home from the hospital one day after visiting his father, he cuts through a vacant lot where he discovers a severed ear buried under overgrown grass and puts it in a paper bag. Jeffrey takes the ear to the police station and speaks to Detective John Williams (George Dickerson) whom he knows as a neighbor.Later that evening, Jeffrey goes to Williams' house to glean further details."
27088,0,A worker and the owner of the property is having a discussion with a visitor while they check out the property.
24514,0,"A man wearing a sleeveless white undershirt is speaking to a group of assembled reporters and news cameras, stating that an American presidential candidate has just been killed in Pakistan (He calls him ""The Governor"" and refers to him as ""the Governor of Pakistan."") A shadowy foreign correspondent, who goes by the name of Kenan, is shown sitting in the front row, beside him are two other men dressed in similar white undershirts. The two men with Kenan sit next to the two journalists. The leader of the Pakistani Taliban, Mullah Mohammed Omar, speaks next, and says that he was killed in a drone strike in Pakistan."
18146,0,A large glass jar is covered with a layer of a thick layer of stout schomish.
38147,1,There are also the more people in the eda.
3213,1,The in is filled everything the universe and with box it.
6149,1,What ancestors we know American the earliest do of the modern-day North about Indians?
34035,1,WHAT IS ONE WAY THAT A PERSON WHO COMMITS A CRIME CAN BE CLASSIFIED?
19033,1,what does this quote from the contradict contradict itself mean?
12124,0,The Chinese in advance and outside military and police forces to the city and countryside and.
12765,1,i done the b of a and b using the a to sums from across.
8238,0,She went to the library to check her books out and got a book she needed.
28749,1,What's the name of the drug used to prevent muscle contraction?
2908,0,"A gang of criminals rob a Gotham City mob bank, double-crossing and murdering each other until there is only one left: The Joker, who escapes with the money Batman, District Attorney Harvey Dent and Lieutenant Jim Gordon form an alliance to rid Gotham of organized crime. Bruce Wayne is impressed with Dent's idealism and offers to support his career; he believes that, with Dent as Gotham's protector, he can give up being Batman and lead a normal life with Rachel Dawes̢even though she and Dent are dating. Mob bosses Sal Maroni, Gambol and the Chechen hold a videoconference with corrupt accountant Lau, who has taken their funds and fled to Hong Kong. The Joker interrupts, warns them that Batman is unhindered by the law, and offers to kill him in exchange for half of their money."
